"CODE","PT","RELATIONSHIP_TO_TARGET","TARGET_CODE","TARGET_TERM","TARGET_TERM_TYPE","TARGET_TERMINOLOGY","TARGET_TERMINOLOGY_VERSION"
"C3211","Non-Hodgkin Lymphoma","Related To","200.18","Lymphosarcoma involving lymph nodes of multiple sites","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.80","Other named variants of lymphosarcoma and reticulosarcoma, unspecified site","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.0","Reticulosarcoma","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.04","Reticulosarcoma involving lymph nodes of axilla and upper limb","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.70","Large cell lymphoma, unspecified site, extranodal and solid organ sites","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.1","Lymphosarcoma","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.02","Reticulosarcoma involving intrathoracic lymph nodes","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.03","Reticulosarcoma involving intra-abdominal lymph nodes","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.00","Reticulosarcoma, unspecified site, extranodal and solid organ sites","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.7","Large cell lymphoma","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.73","Large cell lymphoma involving intra-abdominal lymph nodes","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.75","Large cell lymphoma involving lymph nodes of inguinal region and lower limb","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200","Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.08","Reticulosarcoma involving lymph nodes of multiple sites","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.12","Lymphosarcoma involving intrathoracic lymph nodes","PT","ICD9CM 2014","N/A"
"C3211","Non-Hodgkin Lymphoma","Related To","200.05","Reticulosarcoma involving lymph nodes of inguinal region and lower limb","PT","ICD9CM 2014","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","170.0","Malignant neoplasm of bones of skull and face, except mandible","PT","ICD9CM 2014","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","170.4","Malignant neoplasm of scapula and long bones of upper limb","PT","ICD9CM 2014","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","170.7","Malignant neoplasm of long bones of lower limb","PT","ICD9CM 2014","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","170.5","Malignant neoplasm of short bones of upper limb","PT","ICD9CM 2014","N/A"
"C4016","Malignant Bone Neoplasm","Narrower Than","170","Malignant neoplasm of bone and articular cartilage","PT","ICD9CM 2014","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","170.8","Malignant neoplasm of short bones of lower limb","PT","ICD9CM 2014","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","170.2","Malignant neoplasm of vertebral column, excluding sacrum and coccyx","PT","ICD9CM 2014","N/A"
"C4016","Malignant Bone Neoplasm","Broader Than","170.6","Malignant neoplasm of pelvic bones, sacrum, and coccyx","PT","ICD9CM 2014","N/A"
"C4016","Malignant Bone Neoplasm","Related To","170.9","Malignant neoplasm of bone and articular cartilage, site unspecified","PT","ICD9CM 2014","N/A"
"C4571","Malignant Respiratory System Neoplasm","Related To","162.9","Malignant neoplasm of bronchus and lung, unspecified","PT","ICD9CM 2014","N/A"
"C4571","Malignant Respiratory System Neoplasm","Related To","165.0","Malignant neoplasm of upper respiratory tract, part unspecified","PT","ICD9CM 2014","N/A"
"C4571","Malignant Respiratory System Neoplasm","Broader Than","162.2","Malignant neoplasm of main bronchus","PT","ICD9CM 2014","N/A"
"C4571","Malignant Respiratory System Neoplasm","Broader Than","162","Malignant neoplasm of trachea, bronchus, and lung","PT","ICD9CM 2014","N/A"
"C4571","Malignant Respiratory System Neoplasm","Broader Than","162.3","Malignant neoplasm of upper lobe, bronchus or lung","PT","ICD9CM 2014","N/A"
"C4571","Malignant Respiratory System Neoplasm","Related To","165.9","Malignant neoplasm of ill-defined sites within the respiratory system","PT","ICD9CM 2014","N/A"
"C4571","Malignant Respiratory System Neoplasm","Broader Than","162.5","Malignant neoplasm of lower lobe, bronchus or lung","PT","ICD9CM 2014","N/A"
"C4571","Malignant Respiratory System Neoplasm","Broader Than","162.4","Malignant neoplasm of middle lobe, bronchus or lung","PT","ICD9CM 2014","N/A"
"C4571","Malignant Respiratory System Neoplasm","Related To","162.8","Malignant neoplasm of other parts of bronchus or lung","PT","ICD9CM 2014","N/A"
"C4867","Malignant Soft Tissue Neoplasm","Related To","195.4","Malignant neoplasm of upper limb","PT","ICD9CM 2014","N/A"
"C4867","Malignant Soft Tissue Neoplasm","Related To","171.4","Malignant neoplasm of connective and other soft tissue of thorax","PT","ICD9CM 2014","N/A"
"C4867","Malignant Soft Tissue Neoplasm","Related To","195.5","Malignant neoplasm of lower limb","PT","ICD9CM 2014","N/A"
"C4867","Malignant Soft Tissue Neoplasm","Related To","171.3","Malignant neoplasm of connective and other soft tissue of lower limb, including hip","PT","ICD9CM 2014","N/A"
"C4867","Malignant Soft Tissue Neoplasm","Related To","171.2","Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder","PT","ICD9CM 2014","N/A"
"C4867","Malignant Soft Tissue Neoplasm","Related To","171.6","Malignant neoplasm of connective and other soft tissue of pelvis","PT","ICD9CM 2014","N/A"
"C4867","Malignant Soft Tissue Neoplasm","Narrower Than","171","Malignant neoplasm of connective and other soft tissue","PT","ICD9CM 2014","N/A"
"C4867","Malignant Soft Tissue Neoplasm","Related To","171.9","Malignant neoplasm of connective and other soft tissue, site unspecified","PT","ICD9CM 2014","N/A"
"C4867","Malignant Soft Tissue Neoplasm","Related To","171.0","Malignant neoplasm of connective and other soft tissue of head, face, and neck","PT","ICD9CM 2014","N/A"
"C4867","Malignant Soft Tissue Neoplasm","Related To","171.8","Malignant neoplasm of other specified sites of connective and other soft tissue","PT","ICD9CM 2014","N/A"
"C4867","Malignant Soft Tissue Neoplasm","Related To","171.7","Malignant neoplasm of connective and other soft tissue of trunk, unspecified","PT","ICD9CM 2014","N/A"
"C4867","Malignant Soft Tissue Neoplasm","Related To","171.5","Malignant neoplasm of connective and other soft tissue of abdomen","PT","ICD9CM 2014","N/A"
"C3510","Cutaneous Melanoma","Has Synonym","172","Malignant melanoma of skin","PT","ICD9CM 2014","N/A"
"C3510","Cutaneous Melanoma","Related To","172.8","Malignant melanoma of other specified sites of skin","PT","ICD9CM 2014","N/A"
"C3510","Cutaneous Melanoma","Broader Than","172.6","Malignant melanoma of skin of upper limb, including shoulder","PT","ICD9CM 2014","N/A"
"C3510","Cutaneous Melanoma","Broader Than","172.3","Malignant melanoma of skin of other and unspecified parts of face","PT","ICD9CM 2014","N/A"
"C3510","Cutaneous Melanoma","Broader Than","172.0","Malignant melanoma of skin of lip","PT","ICD9CM 2014","N/A"
"C3510","Cutaneous Melanoma","Broader Than","172.2","Malignant melanoma of skin of ear and external auditory canal","PT","ICD9CM 2014","N/A"
"C3510","Cutaneous Melanoma","Broader Than","172.4","Malignant melanoma of skin of scalp and neck","PT","ICD9CM 2014","N/A"
"C3510","Cutaneous Melanoma","Broader Than","172.7","Malignant melanoma of skin of lower limb, including hip","PT","ICD9CM 2014","N/A"
"C3510","Cutaneous Melanoma","Related To","172.9","Melanoma of skin, site unspecified","PT","ICD9CM 2014","N/A"
"C3510","Cutaneous Melanoma","Broader Than","172.5","Malignant melanoma of skin of trunk, except scrotum","PT","ICD9CM 2014","N/A"
"C18849","Individual Cancer History","Broader Than","V10.82","Personal history of malignant melanoma of skin","PT","ICD9CM 2014","N/A"
"C18849","Individual Cancer History","Broader Than","V10.61","Personal history of lymphoid leukemia","PT","ICD9CM 2014","N/A"
"C18849","Individual Cancer History","Broader Than","V10.62","Personal history of myeloid leukemia","PT","ICD9CM 2014","N/A"
"C18849","Individual Cancer History","Broader Than","V10.11","Personal history of malignant neoplasm of bronchus and lung","PT","ICD9CM 2014","N/A"
"C18849","Individual Cancer History","Broader Than","V10.81","Personal history of malignant neoplasm of bone","PT","ICD9CM 2014","N/A"
"C18849","Individual Cancer History","Broader Than","V10.04","Personal history of malignant neoplasm of stomach","PT","ICD9CM 2014","N/A"
"C18849","Individual Cancer History","Broader Than","V10.60","Personal history of unspecified leukemia","PT","ICD9CM 2014","N/A"
"C18849","Individual Cancer History","Broader Than","V10.46","Personal history of malignant neoplasm of prostate","PT","ICD9CM 2014","N/A"
"C18849","Individual Cancer History","Broader Than","V10.79","Personal history of other lymphatic and hematopoietic neoplasms","PT","ICD9CM 2014","N/A"
"C2920","Malignant Skin Neoplasm","Related To","173.49","Other specified malignant neoplasm of scalp and skin of neck","PT","ICD9CM 2014","N/A"
"C2920","Malignant Skin Neoplasm","Related To","173","Other and unspecified malignant neoplasm of skin","PT","ICD9CM 2014","N/A"
"C2920","Malignant Skin Neoplasm","Related To","173.9","Other and unspecified malignant neoplasm of skin, site unspecified","PT","ICD9CM 2014","N/A"
"C2920","Malignant Skin Neoplasm","Related To","173.40","Unspecified malignant neoplasm of scalp and skin of neck","PT","ICD9CM 2014","N/A"
"C2920","Malignant Skin Neoplasm","Related To","173.6","Other and unspecified malignant neoplasm of skin of upper limb, including shoulder","PT","ICD9CM 2014","N/A"
"C2920","Malignant Skin Neoplasm","Related To","173.7","Other and unspecified malignant neoplasm of skin of lower limb, including hip","PT","ICD9CM 2014","N/A"
"C2920","Malignant Skin Neoplasm","Related To","173.90","Unspecified malignant neoplasm of skin, site unspecified","PT","ICD9CM 2014","N/A"
"C2920","Malignant Skin Neoplasm","Related To","173.4","Other and unspecified malignant neoplasm of scalp and skin of neck","PT","ICD9CM 2014","N/A"
"C2920","Malignant Skin Neoplasm","Related To","173.5","Other and unspecified malignant neoplasm of skin of trunk, except scrotum","PT","ICD9CM 2014","N/A"
"C2920","Malignant Skin Neoplasm","Related To","173.3","Other and unspecified malignant neoplasm of skin of other and unspecified parts of face","PT","ICD9CM 2014","N/A"
"C9305","Malignant Neoplasm","Related To","199","Malignant neoplasm without specification of site","PT","ICD9CM 2014","N/A"
"C9305","Malignant Neoplasm","Broader Than","195","Malignant neoplasm of other and ill-defined sites","PT","ICD9CM 2014","N/A"
"C9305","Malignant Neoplasm","Related To","199.1","Other malignant neoplasm of unspecified site","PT","ICD9CM 2014","N/A"
"C9305","Malignant Neoplasm","Related To","195.8","Malignant neoplasm of other specified sites","PT","ICD9CM 2014","N/A"
"C9357","Hodgkin Lymphoma","Related To","201.91","Hodgkin's disease, unspecified type, involving lymph nodes of head, face, and neck","PT","ICD9CM 2014","N/A"
"C9357","Hodgkin Lymphoma","Related To","201.93","Hodgkin's disease, unspecified type, involving intra-abdominal lymph nodes","PT","ICD9CM 2014","N/A"
"C9357","Hodgkin Lymphoma","Related To","201.92","Hodgkin's disease, unspecified type, involving intrathoracic lymph nodes","PT","ICD9CM 2014","N/A"
"C9357","Hodgkin Lymphoma","Related To","201.96","Hodgkin's disease, unspecified type, involving intrapelvic lymph nodes","PT","ICD9CM 2014","N/A"
"C9357","Hodgkin Lymphoma","Has Synonym","201","Hodgkin's disease","PT","ICD9CM 2014","N/A"
"C9357","Hodgkin Lymphoma","Related To","201.9","Hodgkin's disease, unspecified type","PT","ICD9CM 2014","N/A"
"C9357","Hodgkin Lymphoma","Related To","201.90","Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites","PT","ICD9CM 2014","N/A"
"C9357","Hodgkin Lymphoma","Related To","201.98","Hodgkin's disease, unspecified type, involving lymph nodes of multiple sites","PT","ICD9CM 2014","N/A"
"C3161","Leukemia","Related To","208.90","Unspecified leukemia without mention of having achieved remission","PT","ICD9CM 2014","N/A"
"C3161","Leukemia","Related To","208.8","Other leukemia of unspecified cell type","PT","ICD9CM 2014","N/A"
"C3161","Leukemia","Related To","208.9","Unspecified leukemia","PT","ICD9CM 2014","N/A"
"C3161","Leukemia","Related To","208","Leukemia of unspecified cell type","PT","ICD9CM 2014","N/A"
"C3161","Leukemia","Related To","207","Other specified leukemia","PT","ICD9CM 2014","N/A"
"C3161","Leukemia","Related To","207.8","Other specified leukemia","PT","ICD9CM 2014","N/A"
"C3161","Leukemia","Related To","208.80","Other leukemia of unspecified cell type without mention of having achieved remission","PT","ICD9CM 2014","N/A"
"C3167","Acute Lymphoblastic Leukemia","Related To","204.00","Acute lymphoid leukemia without mention of having achieved remission","PT","ICD9CM 2014","N/A"
"C3167","Acute Lymphoblastic Leukemia","Has Synonym","204.0","Lymphoid leukemia, acute","PT","ICD9CM 2014","N/A"
"C3172","Myeloid Leukemia","Related To","205.20","Subacute myeloid leukemia without mention of having achieved remission","PT","ICD9CM 2014","N/A"
"C3172","Myeloid Leukemia","Related To","205.9","Unspecified myeloid leukemia","PT","ICD9CM 2014","N/A"
"C3172","Myeloid Leukemia","Has Synonym","205","Myeloid leukemia","PT","ICD9CM 2014","N/A"
"C3172","Myeloid Leukemia","Related To","205.80","Other myeloid leukemia without mention of having achieved remission","PT","ICD9CM 2014","N/A"
"C3172","Myeloid Leukemia","Related To","205.90","Unspecified myeloid leukemia without mention of having achieved remission","PT","ICD9CM 2014","N/A"
"C3172","Myeloid Leukemia","Broader Than","205.2","Myeloid leukemia, subacute","PT","ICD9CM 2014","N/A"
"C3172","Myeloid Leukemia","Related To","205.8","Other myeloid leukemia","PT","ICD9CM 2014","N/A"
"C9283","Lymphocyte-Depleted Classic Hodgkin Lymphoma","Has Synonym","201.7","Hodgkin's disease, lymphocytic depletion","PT","ICD9CM 2014","N/A"
"C9283","Lymphocyte-Depleted Classic Hodgkin Lymphoma","Related To","201.23","Hodgkin's sarcoma involving intra-abdominal lymph nodes","PT","ICD9CM 2014","N/A"
"C9283","Lymphocyte-Depleted Classic Hodgkin Lymphoma","Related To","201.2","Hodgkin's sarcoma","PT","ICD9CM 2014","N/A"
"C3209","Follicular Lymphoma","Has Synonym","202.0","Nodular lymphoma","PT","ICD9CM 2014","N/A"
"C3209","Follicular Lymphoma","Related To","202.00","Nodular lymphoma, unspecified site, extranodal and solid organ sites","PT","ICD9CM 2014","N/A"
"C3209","Follicular Lymphoma","Related To","202.03","Nodular lymphoma involving intra-abdominal lymph nodes","PT","ICD9CM 2014","N/A"
"C3209","Follicular Lymphoma","Related To","202.08","Nodular lymphoma involving lymph nodes of multiple sites","PT","ICD9CM 2014","N/A"
"C3209","Follicular Lymphoma","Related To","202.01","Nodular lymphoma involving lymph nodes of head, face, and neck","PT","ICD9CM 2014","N/A"
"C3518","Nodular Sclerosis Classic Hodgkin Lymphoma","Related To","201.52","Hodgkin's disease, nodular sclerosis, involving intrathoracic lymph nodes","PT","ICD9CM 2014","N/A"
"C3518","Nodular Sclerosis Classic Hodgkin Lymphoma","Related To","201.50","Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites","PT","ICD9CM 2014","N/A"
"C3518","Nodular Sclerosis Classic Hodgkin Lymphoma","Has Synonym","201.5","Hodgkin's disease, nodular sclerosis","PT","ICD9CM 2014","N/A"
"C3518","Nodular Sclerosis Classic Hodgkin Lymphoma","Related To","201.51","Hodgkin's disease, nodular sclerosis, involving lymph nodes of head, face, and neck","PT","ICD9CM 2014","N/A"
"C3518","Nodular Sclerosis Classic Hodgkin Lymphoma","Related To","201.58","Hodgkin's disease, nodular sclerosis, involving lymph nodes of multiple sites","PT","ICD9CM 2014","N/A"
"C3518","Nodular Sclerosis Classic Hodgkin Lymphoma","Related To","201.54","Hodgkin's disease, nodular sclerosis, involving lymph nodes of axilla and upper limb","PT","ICD9CM 2014","N/A"
"C3518","Nodular Sclerosis Classic Hodgkin Lymphoma","Related To","201.55","Hodgkin's disease, nodular sclerosis, involving lymph nodes of inguinal region and lower limb","PT","ICD9CM 2014","N/A"
"C7539","Lymphoid Leukemia","Related To","204.8","Other lymphoid leukemia","PT","ICD9CM 2014","N/A"
"C7539","Lymphoid Leukemia","Related To","204.90","Unspecified lymphoid leukemia without mention of having achieved remission","PT","ICD9CM 2014","N/A"
"C7539","Lymphoid Leukemia","Has Synonym","204","Lymphoid leukemia","PT","ICD9CM 2014","N/A"
"C7539","Lymphoid Leukemia","Related To","204.9","Unspecified lymphoid leukemia","PT","ICD9CM 2014","N/A"
"C7539","Lymphoid Leukemia","Related To","204.80","Other lymphoid leukemia without mention of having achieved remission","PT","ICD9CM 2014","N/A"
"C7539","Lymphoid Leukemia","Broader Than","204.2","Lymphoid leukemia, subacute","PT","ICD9CM 2014","N/A"
"C2912","Burkitt Lymphoma","Related To","200.2","Burkitt's tumor or lymphoma","PT","ICD9CM 2014","N/A"
"C2912","Burkitt Lymphoma","Related To","200.24","Burkitt's tumor or lymphoma involving lymph nodes of axilla and upper limb","PT","ICD9CM 2014","N/A"
"C2912","Burkitt Lymphoma","Related To","200.23","Burkitt's tumor or lymphoma involving intra-abdominal lymph nodes","PT","ICD9CM 2014","N/A"
"C2912","Burkitt Lymphoma","Related To","200.21","Burkitt's tumor or lymphoma involving lymph nodes of head, face, and neck","PT","ICD9CM 2014","N/A"
"C7258","Nodular Lymphocyte Predominant Hodgkin Lymphoma","Related To","201.44","Hodgkin's disease, lymphocytic-histiocytic predominance involving lymph nodes of axilla and upper limb","PT","ICD9CM 2014","N/A"
"C7258","Nodular Lymphocyte Predominant Hodgkin Lymphoma","Related To","201.41","Hodgkin's disease, lymphocytic-histiocytic predominance involving lymph nodes of head, face, and neck","PT","ICD9CM 2014","N/A"
"C7258","Nodular Lymphocyte Predominant Hodgkin Lymphoma","Related To","201.40","Hodgkin's disease, lymphocytic-histiocytic predominance, unspecified site, extranodal and solid organ sites","PT","ICD9CM 2014","N/A"
"C7258","Nodular Lymphocyte Predominant Hodgkin Lymphoma","Related To","201.48","Hodgkin's disease, lymphocytic-histiocytic predominance involving lymph nodes of multiple sites","PT","ICD9CM 2014","N/A"
"C7258","Nodular Lymphocyte Predominant Hodgkin Lymphoma","Related To","201.45","Hodgkin's disease, lymphocytic-histiocytic predominance involving lymph nodes of inguinal region and lower limb","PT","ICD9CM 2014","N/A"
"C7258","Nodular Lymphocyte Predominant Hodgkin Lymphoma","Has Synonym","201.4","Hodgkin's disease, lymphocytic-histiocytic predominance","PT","ICD9CM 2014","N/A"
"C3208","Lymphoma","Related To","202.81","Other malignant lymphomas involving lymph nodes of head, face, and neck","PT","ICD9CM 2014","N/A"
"C3208","Lymphoma","Related To","202.82","Other malignant lymphomas involving intrathoracic lymph nodes","PT","ICD9CM 2014","N/A"
"C3208","Lymphoma","Related To","202.80","Other malignant lymphomas, unspecified site, extranodal and solid organ sites","PT","ICD9CM 2014","N/A"
"C3208","Lymphoma","Related To","202.83","Other malignant lymphomas involving intra-abdominal lymph nodes","PT","ICD9CM 2014","N/A"
"C3208","Lymphoma","Related To","202.85","Other malignant lymphomas involving lymph nodes of inguinal region and lower limb","PT","ICD9CM 2014","N/A"
"C3208","Lymphoma","Related To","202.8","Other malignant lymphomas","PT","ICD9CM 2014","N/A"
"C3208","Lymphoma","Related To","202.88","Other malignant lymphomas involving lymph nodes of multiple sites","PT","ICD9CM 2014","N/A"
"C3247","Myelodysplastic Syndrome","Related To","238.75","Myelodysplastic syndrome, unspecified","PT","ICD9CM 2014","N/A"
"C3247","Myelodysplastic Syndrome","Broader Than","238.72","Low grade myelodysplastic syndrome lesions","PT","ICD9CM 2014","N/A"
"C3247","Myelodysplastic Syndrome","Broader Than","238.73","High grade myelodysplastic syndrome lesions","PT","ICD9CM 2014","N/A"
"C4861","Acute Monocytic Leukemia","Related To","206.80","Other monocytic leukemia without mention of having achieved remission","PT","ICD9CM 2014","N/A"
"C4861","Acute Monocytic Leukemia","Related To","206.00","Acute monocytic leukemia without mention of having achieved remission","PT","ICD9CM 2014","N/A"
"C4861","Acute Monocytic Leukemia","Related To","206.9","Unspecified monocytic leukemia","PT","ICD9CM 2014","N/A"
"C4861","Acute Monocytic Leukemia","Related To","206.8","Other monocytic leukemia","PT","ICD9CM 2014","N/A"
"C4861","Acute Monocytic Leukemia","Has Synonym","206.0","Monocytic leukemia, acute","PT","ICD9CM 2014","N/A"
"C4861","Acute Monocytic Leukemia","Has Synonym","206","Monocytic leukemia","PT","ICD9CM 2014","N/A"
"C2921","Skin Basal Cell Carcinoma","Related To","173.91","Basal cell carcinoma of skin, site unspecified","PT","ICD9CM 2014","N/A"
"C2921","Skin Basal Cell Carcinoma","Related To","173.51","Basal cell carcinoma of skin of trunk, except scrotum","PT","ICD9CM 2014","N/A"
"C2921","Skin Basal Cell Carcinoma","Related To","173.31","Basal cell carcinoma of skin of other and unspecified parts of face","PT","ICD9CM 2014","N/A"
"C3171","Acute Myeloid Leukemia","Related To","205.00","Acute myeloid leukemia without mention of having achieved remission","PT","ICD9CM 2014","N/A"
"C3171","Acute Myeloid Leukemia","Has Synonym","205.0","Myeloid leukemia, acute","PT","ICD9CM 2014","N/A"
"C3174","Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Has Synonym","205.1","Myeloid leukemia, chronic","PT","ICD9CM 2014","N/A"
"C3174","Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Related To","205.10","Chronic myeloid leukemia without mention of having achieved remission","PT","ICD9CM 2014","N/A"
"C7398","Malignant Oropharyngeal Neoplasm","Has Synonym","146","Malignant neoplasm of oropharynx","PT","ICD9CM 2014","N/A"
"C7398","Malignant Oropharyngeal Neoplasm","Broader Than","146.7","Malignant neoplasm of posterior wall of oropharynx","PT","ICD9CM 2014","N/A"
"C7398","Malignant Oropharyngeal Neoplasm","Broader Than","146.5","Malignant neoplasm of junctional region of oropharynx","PT","ICD9CM 2014","N/A"
"C7398","Malignant Oropharyngeal Neoplasm","Related To","146.8","Malignant neoplasm of other specified sites of oropharynx","PT","ICD9CM 2014","N/A"
"C7398","Malignant Oropharyngeal Neoplasm","Broader Than","146.1","Malignant neoplasm of tonsillar fossa","PT","ICD9CM 2014","N/A"
"C7398","Malignant Oropharyngeal Neoplasm","Related To","146.9","Malignant neoplasm of oropharynx, unspecified","PT","ICD9CM 2014","N/A"
"C7398","Malignant Oropharyngeal Neoplasm","Broader Than","146.3","Malignant neoplasm of vallecula","PT","ICD9CM 2014","N/A"
"C7398","Malignant Oropharyngeal Neoplasm","Broader Than","146.2","Malignant neoplasm of tonsillar pillars (anterior) (posterior)","PT","ICD9CM 2014","N/A"
"C3242","Plasma Cell Myeloma","Narrower Than","203","Multiple myeloma and immunoproliferative neoplasms","PT","ICD9CM 2014","N/A"
"C3242","Plasma Cell Myeloma","Has Synonym","203.0","Multiple myeloma","PT","ICD9CM 2014","N/A"
"C3242","Plasma Cell Myeloma","Related To","203.00","Multiple myeloma without mention of having achieved remission","PT","ICD9CM 2014","N/A"
"C9242","Malignant Colon Neoplasm","Broader Than","153.1","Malignant neoplasm of transverse colon","PT","ICD9CM 2014","N/A"
"C9242","Malignant Colon Neoplasm","Has Synonym","153","Malignant neoplasm of colon","PT","ICD9CM 2014","N/A"
"C9242","Malignant Colon Neoplasm","Broader Than","153.0","Malignant neoplasm of hepatic flexure","PT","ICD9CM 2014","N/A"
"C9242","Malignant Colon Neoplasm","Broader Than","153.2","Malignant neoplasm of descending colon","PT","ICD9CM 2014","N/A"
"C9242","Malignant Colon Neoplasm","Related To","153.9","Malignant neoplasm of colon, unspecified","PT","ICD9CM 2014","N/A"
"C9242","Malignant Colon Neoplasm","Broader Than","153.6","Malignant neoplasm of ascending colon","PT","ICD9CM 2014","N/A"
"C9242","Malignant Colon Neoplasm","Broader Than","153.7","Malignant neoplasm of splenic flexure","PT","ICD9CM 2014","N/A"
"C9334","Malignant Bladder Neoplasm","Related To","188.9","Malignant neoplasm of bladder, part unspecified","PT","ICD9CM 2014","N/A"
"C9334","Malignant Bladder Neoplasm","Broader Than","188.4","Malignant neoplasm of posterior wall of urinary bladder","PT","ICD9CM 2014","N/A"
"C9334","Malignant Bladder Neoplasm","Has Synonym","188","Malignant neoplasm of bladder","PT","ICD9CM 2014","N/A"
"C9334","Malignant Bladder Neoplasm","Broader Than","188.0","Malignant neoplasm of trigone of urinary bladder","PT","ICD9CM 2014","N/A"
"C9334","Malignant Bladder Neoplasm","Broader Than","188.1","Malignant neoplasm of dome of urinary bladder","PT","ICD9CM 2014","N/A"
"C9334","Malignant Bladder Neoplasm","Broader Than","188.5","Malignant neoplasm of bladder neck","PT","ICD9CM 2014","N/A"
"C9334","Malignant Bladder Neoplasm","Related To","188.8","Malignant neoplasm of other specified sites of bladder","PT","ICD9CM 2014","N/A"
"C9334","Malignant Bladder Neoplasm","Broader Than","188.2","Malignant neoplasm of lateral wall of urinary bladder","PT","ICD9CM 2014","N/A"
"C9334","Malignant Bladder Neoplasm","Broader Than","188.3","Malignant neoplasm of anterior wall of urinary bladder","PT","ICD9CM 2014","N/A"
"C9005","Malignant Pancreatic Neoplasm","Has Synonym","157","Malignant neoplasm of pancreas","PT","ICD9CM 2014","N/A"
